uni,url,country,code,
Hanze University of Applied Sciences,https://drive.google.com/uc?id=1H8Wpal48PFcxdR4SFQhOzwOTWuAAcjtX,Netherlands,nl
Hawaii Pacific Univeristy,https://drive.google.com/uc?id=1SlKzR1y20hwnfSgQkIEGWH5mxAWSH3tD,United States,us
Hawaii Pacific University,https://drive.google.com/uc?id=1SlKzR1y20hwnfSgQkIEGWH5mxAWSH3tD,United States,us
Heidelberg University,https://drive.google.com/uc?id=1cwSHxs218TYfNy4LFdk2RqAxvQ4fpqUg,Germany,de
Higher School of Economics,https://drive.google.com/uc?id=1BFMw85egwnH9QDWn_etOfBX0eiFUCwAf,Russia,ru
Higher Technical School of Architecture of Madrid,https://drive.google.com/uc?id=17qLS5K62nb2YJcJLUeqoK-gQWEZnqzcY,Spain,es
Hitotsubashi University,https://drive.google.com/uc?id=17qLS5K62nb2YJcJLUeqoK-gQWEZnqzcY,Japan,jp
Hochschule Furtwangen University,https://drive.google.com/uc?id=1nOhFHWzuY4aE59md1PEbfGRBCh-JASDl,Germany,de
Hochschule Osnabrueck,https://drive.google.com/uc?id=1D-yZokfE0B-rKgfMD0on7SdvN4QiE7VW,Germany,de
Hof University,https://drive.google.com/uc?id=1yFg7yaCnLQT6DADAYlA2Bcqn2neX7k08,Germany,de
Hokkaido University,https://drive.google.com/uc?id=1q4Q_d4rE8xdJgttIDZCregz8_tfqe8uX,Japan,jp
Hong Kong Baptist University,https://drive.google.com/uc?id=1q4Q_d4rE8xdJgttIDZCregz8_tfqe8uX,Hong Kong,hk
Hong Kong University of Science and Technology,https://drive.google.com/uc?id=1Z1GmQGu5B0PYGuE9GkoNdYALO9XATYl4,Hong Kong,hk
Hongkong University of Science and Technology(HKUST),https://drive.google.com/uc?id=1nmx6Yk63gJ7DdSLV9nxOhdq4U3SgdHNS,Hong Kong,hk
Huazhong University of Science and Technology,https://drive.google.com/uc?id=1nmx6Yk63gJ7DdSLV9nxOhdq4U3SgdHNS,China,cn
ICHEC Brussels Management School,https://drive.google.com/uc?id=18l-VXTqztsLlzY1q6pCY3lkZ9rvHc9MA,Belgium,be
ICN Business School,https://drive.google.com/uc?id=1iXV68yfvSW8bXFt98mn0cd9QO6e8j45h,France,fr
IE University,https://drive.google.com/uc?id=1ZrN6DLhXLXZ6NHer5l2D6c9QhESly1WG,Spain,es
IESEG School of Management,https://drive.google.com/uc?id=1Wd8aSWp_EnqZzaAKKfdqpfK-j0lygA_5,France,fr
INSEEC (ECE LYON),,France,fr
INSEEC BUSINESS SCHOOL,https://drive.google.com/uc?id=1RKH7u1DORHSrIJV-rgdtHnWz-W8NN4sQ,France,fr
INSEEC Business School,https://drive.google.com/uc?id=1RKH7u1DORHSrIJV-rgdtHnWz-W8NN4sQ,France,fr
INSEEC Business School (Bordeaux),https://drive.google.com/uc?id=1HANgNKJcuyc3tZyfrl09zPSNzf9DPF5X,France,fr
INSEEC Business School (Paris),https://drive.google.com/uc?id=1WDFFoUTBCkctFFZGJJJLisyPKOlflkoA,France,fr
ISCID-CO,https://drive.google.com/uc?id=1z5Ha8hdNEgOrq_mAqdU_Z5vZMjtkYF-i,France,fr
Indiana University,https://drive.google.com/uc?id=12d404V_wnrvX3JkDR2oaJM4253NiiDjz,United States,us
Indiana University Bloomington,https://drive.google.com/uc?id=1yga_2K7aABRjJotSfnsJmD-4WzV6opX0,United States,us
"Indiana University, Kelley School of Business",https://drive.google.com/uc?id=1c0qticYRwmRc5uz3PYyCGTHDXxm-Kcn2,United States,us
Inholland University applied science,https://drive.google.com/uc?id=1L1buNb5MesdYcj7iGic7UMAUHjSRmARB,Netherlands,nl
Inholland University of Applied Sciences,https://drive.google.com/uc?id=14XqE8_hICACYkK56toV0zSA3Mqcz968,Netherlands,nl
Institut national des langues et civilisations orientales,https://drive.google.com/uc?id=14XqE8_hICACYkK56toV0zSA3Mqcz968,France,fr
Institut superieur du commerce de Paris,https://drive.google.com/uc?id=1Zkl7owEcnBueHyrEZhjcoEkiht3y694,France,fr
Irkutsk National Research Technical University,https://drive.google.com/uc?id=1mVtSuoNn7TtiCEAiAuemQ8xWzslaKn1u,Russia,ru
Jean Moulin University Lyon 3,https://drive.google.com/uc?id=1leVWoiRwnExnczTmV36VZumHdGe7NVIJ,France,fr
Jilin University,https://drive.google.com/uc?id=1i9TbFZEGKdvkGDWWrcNSEu8I3J7CjTZy,China,cn
KEDGE Business School,https://drive.google.com/uc?id=1i9TbFZEGKdvkGDWWrcNSEu8I3J7CjTZy,France,fr
KIMEP,https://drive.google.com/uc?id=1bZB7bydSsr7Sj-oU2A4__0Vkc1u1cISC,Kazakhstan,kz
Kajaani University of Applied Sciences,https://drive.google.com/uc?id=1Pw5P1YFKRc5XzlbHKUKnmIAVndXFe9DD,Finland,fi
Katholieke Universiteit Leuven,https://drive.google.com/uc?id=1alOVfFy2Ko0SWnNcIQV9baa0dBoyazdo,Belgium,be
King's University College (University of Western Ontario),https://drive.google.com/uc?id=1sOjBH5pxEK7qiB7fuyx91CWKWqUhNNkj,Canada,ca
Kingston University,https://drive.google.com/uc?id=1zelkXewL4TUYFac_QAMTyNlxkKaLpSSL,United Kingdom,gb
King’s College London,https://drive.google.com/uc?id=15LYm1Tz-4oPBat3fLCYQULffwuReKq6p,United Kingdom,gb
Kobe University,https://drive.google.com/uc?id=15LYm1Tz-4oPBat3fLCYQULffwuReKq6p,Japan,jp
Kyushu University,https://drive.google.com/uc?id=1zPkVlGnlVK9zyMMv2WxrVQ8m8c22TtQv,Japan,jp
LUT University,https://drive.google.com/uc?id=18JQi5JnUn9PHPlb7yKKShPU06Hau0QVu,Finland,fi
La Rochelle University,https://drive.google.com/uc?id=14wrn4atsQ7a1azRsog9nKt66JKIv27Az,France,fr
Lanzhou University,https://drive.google.com/uc?id=1j4vWj8TUrt9su0E8fyQA_SG_LRgQze3Y,China,cn
Lappeenranta Univeristy of Technology,https://drive.google.com/uc?id=19MvGKgfOvNvxPZXXNXo956BMUG2Gi193,Finland,fi
Leiden University,https://drive.google.com/uc?id=1sNCp9iJFrcVCTCrr2cKrMBKoOYQ5KOUH,Netherlands,nl
Leonardo da Vinci University Center,https://drive.google.com/uc?id=1zqAzCNMRyHrW-Vc0_11eAs7mCfY9mppC,France,fr
Leuphana Universitaet Lueneburg,https://drive.google.com/uc?id=1AL1xvLSaRi1_WEaEZOVgWkIrC9QSTE5Y,Germany,de
Leuphana University,https://drive.google.com/uc?id=1AL1xvLSaRi1_WEaEZOVgWkIrC9QSTE5Y,Germany,de
Leuphana University of Luneburg,https://drive.google.com/uc?id=1AL1xvLSaRi1_WEaEZOVgWkIrC9QSTE5Y,Germany,de
Lille Catholic University,https://drive.google.com/uc?id=1d-GI9ySVDhkIrOXGVkC7BAe0BZC_QT5m,France,fr
Lille Catholic University ( I?SEG ),https://drive.google.com/uc?id=1giWrII8Xa_r--aMmPE3LOSIw9wiPjeqp,France,fr
Linkoping University,https://drive.google.com/uc?id=1kUGpHW-hesqnRFKokdl98FI8dON5_zVe,Sweden,se
Linnaeus University,https://drive.google.com/uc?id=1NxTDdVdfDmeiUbHj7CrqApoAi09vmIka,Sweden,se
London College of Fashion,https://drive.google.com/uc?id=1wWEG0AHeCnGoBCZe1tdphAid4SknnGGR,United Kingdom,gb
Lucerne University of Applied Sciences and Arts,,Switzerland,ch
MCI Management Center Innsbruck,https://drive.google.com/uc?id=1wWEG0AHeCnGoBCZe1tdphAid4SknnGGR,Austria,at
MONTANA STATE UNIVERSITY,https://drive.google.com/uc?id=1y8e_oMyF_BhhGTSE7n_0HKdQJBJCPVp1,United States,us
MOSCOW NATIONAL COLLEDGE RUSSIAN LANQUAGE,https://drive.google.com/uc?id=1IB-eZjxOEHak8G9myXvLD-uEXGd6K_JP,Russia,ru
Maastricht University,https://drive.google.com/uc?id=1vWs3v2rxl7dGDGgoFSWPnIPXaE9PLSnw,Netherlands,nl
Mainz University of Applied Sciences,https://drive.google.com/uc?id=17GH8WIzx1eLbiNorlFzLOd4dEgGQy569,Germany,de
Mainz university of Applied science(Hochschule Mainz),https://drive.google.com/uc?id=1N8EcUu-yc3zo4lZVd3kY8XSD3YuyN_2J,Germany,de
Major University,https://drive.google.com/uc?id=1U0raGisLC_UiovTKjjrQPSY0rBBWvp2P,Chile,cl
Masaryk University,https://drive.google.com/uc?id=15xXI2Syi3kr7ZWOjMhKalXv3BkIkemQ0,Czech Republic,cz
Masaryk university,https://drive.google.com/uc?id=15xXI2Syi3kr7ZWOjMhKalXv3BkIkemQ0,Czech Republic,cz
Memorial University of Newfoundland,https://drive.google.com/uc?id=1HlAWtU4BEZOVouWh1ZgkrDw00jyHHw2C,Canada,ca
Memorial University of Newfoundland (Grenfell Campus),https://drive.google.com/uc?id=1swNF_nFNIWxHjmrLOQZsAWWA5dWX6UkR,Canada,ca
Middlesex University,https://drive.google.com/uc?id=1m0co_o8tT9kmLPr-C5xadw-nmy0HxtsC,United Kingdom,gb
Monterrey Institute of Technology and Higher Education,https://drive.google.com/uc?id=1m0co_o8tT9kmLPr-C5xadw-nmy0HxtsC,Mexico,mx
NATIONAL CHIAO TUNG UNIVERSITY,https://drive.google.com/uc?id=1qVqcRuoQRrL1LOFRKyyxlaaNiLNYx85D,Taiwan,tw
NEOMA Business School,https://drive.google.com/uc?id=1qVqcRuoQRrL1LOFRKyyxlaaNiLNYx85D,France,fr
NHL Stenden University of Applied Sciences,https://drive.google.com/uc?id=1nuoZ4Z94u2wl9nFhNa5K5At0n-47w0Eh,Netherlands,nl
Nagasaki University,https://drive.google.com/uc?id=1nuoZ4Z94u2wl9nFhNa5K5At0n-47w0Eh,Japan,jp
Nagoya University,https://drive.google.com/uc?id=1nuoZ4Z94u2wl9nFhNa5K5At0n-47w0Eh,Japan,jp
Nagoya Univesity ,https://drive.google.com/uc?id=1nuoZ4Z94u2wl9nFhNa5K5At0n-47w0Eh,Japan,jp
Nankai University,https://drive.google.com/uc?id=1nuoZ4Z94u2wl9nFhNa5K5At0n-47w0Eh,China,cn
Nanyang Technological University,https://drive.google.com/uc?id=1kiS2oOwLWydO8emKXK0_57c3VHyq4iC1,Singapore,sg
National Chengchi University,https://drive.google.com/uc?id=1kiS2oOwLWydO8emKXK0_57c3VHyq4iC1,Taiwan,tw
National Chiao Tung University,https://drive.google.com/uc?id=1qVqcRuoQRrL1LOFRKyyxlaaNiLNYx85D,Taiwan,tw
National Chung Cheng University,https://drive.google.com/uc?id=1AXgPiI38Dq2ajPQ2y3Od2tmjb0wFxL9l,Taiwan,tw
National Institute for Oriental Languages and Civilizations,,France,fr
